date,year,month,month_name,day,precipitation_mm,station,latitude,longitude,source
2015-05-08,2015,5,May,8,10.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-09,2015,5,May,9,22.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-10,2015,5,May,10,26.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-11,2015,5,May,11,22.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-12,2015,5,May,12,3.9,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-13,2015,5,May,13,4.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-14,2015,5,May,14,5.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-15,2015,5,May,15,2.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-16,2015,5,May,16,5.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-17,2015,5,May,17,7.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-18,2015,5,May,18,13.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-19,2015,5,May,19,9.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-20,2015,5,May,20,2.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-21,2015,5,May,21,13.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-22,2015,5,May,22,7.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-23,2015,5,May,23,4.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-24,2015,5,May,24,4.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-25,2015,5,May,25,1.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-26,2015,5,May,26,5.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-27,2015,5,May,27,3.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-28,2015,5,May,28,3.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-29,2015,5,May,29,6.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-30,2015,5,May,30,10.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-31,2015,5,May,31,12.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-01,2015,6,Jun,1,9.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-02,2015,6,Jun,2,8.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-03,2015,6,Jun,3,10.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-04,2015,6,Jun,4,17.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-05,2015,6,Jun,5,8.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-06,2015,6,Jun,6,0.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-07,2015,6,Jun,7,0.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-08,2015,6,Jun,8,2.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-09,2015,6,Jun,9,2.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-10,2015,6,Jun,10,1.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-11,2015,6,Jun,11,9.9,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-12,2015,6,Jun,12,6.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-13,2015,6,Jun,13,2.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-14,2015,6,Jun,14,3.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-15,2015,6,Jun,15,9.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-16,2015,6,Jun,16,14.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-17,2015,6,Jun,17,15.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-18,2015,6,Jun,18,9.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-19,2015,6,Jun,19,5.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-20,2015,6,Jun,20,4.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-21,2015,6,Jun,21,1.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-22,2015,6,Jun,22,1.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-23,2015,6,Jun,23,3.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-24,2015,6,Jun,24,2.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-25,2015,6,Jun,25,3.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-26,2015,6,Jun,26,8.9,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-27,2015,6,Jun,27,33.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-28,2015,6,Jun,28,17.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-29,2015,6,Jun,29,11.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-06-30,2015,6,Jun,30,13.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-01,2015,7,Jul,1,2.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-02,2015,7,Jul,2,2.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-03,2015,7,Jul,3,6.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-04,2015,7,Jul,4,13.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-05,2015,7,Jul,5,8.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
